Symbol,Shares
FXLV,117
F,126
SNDL,110
ASRT,106
QNCX,100
ARKX,100
SBUX,124
BMNM,2000
OLO,100
JENGQ,400
LUMN,196
GE,101
PFE,284
GAB,177
NOK,105
NNDM,100
SNAP,100
DIDIY,100
PAYO,100
CLNE,200
VYGVQ,100
